Class,Q,A
Definition,What is a hiatal hernia?,A hiatal hernia occurs when part of your stomach pushes upward through your diaphragm into your chest cavity.
Cause,What causes bipolar disorder?,"The exact cause of bipolar disorder is unknown, but a combination of genetics, environment, and altered brain structure and chemistry may play roles."
Symptom,What are the warning signs of a heart attack?,"Warning signs include chest pain or discomfort, upper body pain in the arms, back, neck, jaw, or stomach, shortness of breath, nausea, lightheadedness, and cold sweats."
Treatment,How is psoriasis treated?,"Psoriasis treatment includes topical treatments, phototherapy, and systemic medications, including biologic drugs that target specific parts of the immune system."
Prognosis,What is the prognosis for individuals with sickle cell disease?,"The prognosis varies; with modern treatments, many people with sickle cell disease live into their 40s and 50s, although the condition can lead to complications that may affect life expectancy."
Diagnosis,How is atrial fibrillation diagnosed?,"Atrial fibrillation is diagnosed using an electrocardiogram (EKG or ECG) to detect the irregular heart rhythm, along with other tests like a Holter monitor, echocardiogram, and blood tests."
Prevention,How can computer vision syndrome be prevented?,"Prevention includes taking regular breaks using the 20-20-20 rule, adjusting lighting to reduce glare on the computer screen, ensuring proper seating posture, and using appropriate eyewear if needed."
Definition,What is restless leg syndrome (RLS)?,"Restless leg syndrome is a neurological disorder characterized by an uncontrollable urge to move the legs, usually due to uncomfortable sensations."
Cause,What causes gout?,"Gout is caused by the accumulation of urate crystals in the joint, resulting from high levels of uric acid in the blood, often related to diet, obesity, genetic factors, or under-excretion of urate."
Symptom,What are signs of metabolic syndrome?,"Signs include a large waist circumference, high triglyceride level, reduced HDL cholesterol level, increased blood pressure, and elevated fasting blood sugar."
Treatment,How is chronic venous insufficiency treated?,"Treatment includes compression stockings to help blood move back towards the heart, exercise, weight loss, and sometimes procedures to repair veins or valves."
Prognosis,What is the outlook for individuals with osteoporosis?,"With treatment and lifestyle changes to strengthen bones and prevent falls, individuals with osteoporosis can manage the condition effectively, though the risk of fractures remains."
Diagnosis,How is Lyme disease diagnosed?,"Lyme disease is diagnosed based on symptoms, the possibility of exposure to infected ticks, and diagnostic tests, including ELISA and Western blot tests for Lyme disease antibodies."
Prevention,How can one prevent Lyme disease?,"Preventing Lyme disease involves avoiding tick-infested areas, using insect repellent, wearing protective clothing, performing regular tick checks after being outdoors, and promptly removing ticks from the skin."
Definition,What is Guillain-Barré syndrome?,"Guillain-Barré syndrome is a rare neurological disorder where the body's immune system mistakenly attacks the peripheral nerves, leading to muscle weakness and sometimes paralysis."
Cause,What causes chickenpox?,"Chickenpox is caused by the varicella-zoster virus and is highly contagious, spreading through direct contact or the air from an infected person's coughing or sneezing."
Symptom,What are symptoms of food allergies?,"Symptoms include hives, itching or eczema flare, swelling of the lips, face, tongue, throat or other parts of the body, wheezing, nasal congestion, trouble breathing, abdominal pain, diarrhea, dizziness, light-headedness, or fainting."
Treatment,How is deep vein thrombosis (DVT) managed?,DVT is managed with anticoagulant medications to prevent clot growth and reduce the risk of clots breaking off and causing a pulmonary embolism.
Prognosis,What is the prognosis for someone with atrial fibrillation (Afib)?,"With appropriate treatment to manage symptoms and reduce stroke risk, many individuals with Afib can live healthy, active lives. However, Afib can increase the risk of stroke and heart-related complications."
Diagnosis,How is hyperthyroidism diagnosed?,"Hyperthyroidism is diagnosed through blood tests that measure levels of thyroid hormones (thyroxine, or T4, and triiodothyronine, or T3) and thyroid-stimulating hormone (TSH)."
Prevention,How can lower back pain be prevented?,"Preventing lower back pain involves regular physical activity, maintaining a healthy weight, practicing proper lifting techniques, ensuring ergonomic workplace conditions, and sleeping on a mattress that supports the spine."
Definition,What is chlamydia?,"Chlamydia is a common sexually transmitted infection (STI) caused by the bacterium Chlamydia trachomatis, often asymptomatic but can cause serious reproductive and other health problems with long-term consequences."
Cause,What causes rosacea?,"The exact cause of rosacea is unknown, but it may involve a combination of hereditary and environmental factors. Triggers like hot drinks, spicy foods, temperature extremes, and sunlight can aggravate the condition."
Symptom,What are the signs of sleep apnea?,"Signs include loud snoring, episodes of breathing cessation during sleep, abrupt awakenings with shortness of breath, awakening with a dry mouth or sore throat, morning headache, difficulty staying asleep, and excessive daytime sleepiness."
Treatment,How is rheumatoid arthritis (RA) treated?,"RA treatment focuses on managing symptoms and slowing disease progression through medications, physical therapy, and sometimes surgery to repair damaged joints."
Prognosis,What is the outlook for someone diagnosed with melanoma?,"The prognosis for melanoma depends on the stage at diagnosis; early-stage melanoma can often be treated successfully with surgery alone, but more advanced melanoma may require additional treatments and has a more guarded prognosis."
Diagnosis,How is osteoporosis diagnosed?,"Osteoporosis is diagnosed using bone density scans (DEXA scans) to measure the strength and density of bones, often focusing on the hip and spine."
Prevention,How can the risk of developing heart disease be reduced?,"Reducing the risk includes maintaining a healthy lifestyle with regular exercise, a balanced diet, not smoking, managing stress, controlling blood pressure and cholesterol levels, and limiting alcohol intake."
Definition,What is cystic fibrosis?,"Cystic fibrosis is a genetic disorder that causes severe damage to the lungs, digestive system, and other organs, affecting the cells that produce mucus, sweat, and digestive juices."
Cause,What causes urinary tract infections (UTIs)?,"UTIs are usually caused by bacteria from the skin or rectum that enter the urethra and infect the urinary bladder, and can also affect the ureters and kidneys."
Symptom,What are the indicators of metabolic syndrome?,"Indicators include abdominal obesity, elevated blood pressure, high blood sugar levels, high triglycerides, and low HDL cholesterol levels."
Treatment,How is a peptic ulcer treated?,"Treatment includes proton pump inhibitors to reduce stomach acid and protect the stomach lining, antibiotics to treat Helicobacter pylori infections, and lifestyle changes such as avoiding NSAIDs and reducing spicy food intake."
Prognosis,What is the long-term outlook for someone with chronic kidney disease (CKD)?,"The outlook varies with the stage of CKD at diagnosis and how well the condition is managed; early detection and management can slow progression, but advanced CKD may require dialysis or kidney transplant."
Diagnosis,How is a concussion diagnosed?,A concussion is diagnosed based on the clinical symptoms and a neurological examination. Imaging tests like MRI or CT scans may be used to assess the brain for severe injuries.
Prevention,How can you prevent varicose veins?,"Preventing varicose veins can involve exercising regularly, maintaining a healthy weight, elevating your legs, avoiding long periods of standing or sitting, and wearing compression stockings if needed."
Definition,What is hepatitis C?,"Hepatitis C is a viral infection that causes liver inflammation, sometimes leading to serious liver damage. The hepatitis C virus (HCV) spreads through contaminated blood."
Cause,What causes a stroke?,"Strokes can be caused by a blockage (ischemic stroke) or the bursting or leaking of a blood vessel (hemorrhagic stroke). Some people may experience only a temporary disruption of blood flow to the brain (transient ischemic attack, TIA)."
Symptom,What are signs of post-traumatic stress disorder (PTSD)?,"Signs include flashbacks, nightmares, severe anxiety, uncontrollable thoughts about the event, avoidance of reminders of the event, negative changes in thinking and mood, and changes in physical and emotional reactions."
Treatment,How is type 2 diabetes managed?,"Management includes lifestyle changes, monitoring blood sugar, diabetes medications or insulin therapy, and regular checkups to monitor for complications."
Prognosis,What is the outlook for someone with sickle cell anemia?,"The prognosis for sickle cell anemia has improved with treatments like pain management, hydroxyurea, and blood transfusions. Many people with the disease live into their 50s or beyond, although complications can reduce life expectancy."
Diagnosis,How is anemia diagnosed?,"Anemia is diagnosed through a complete blood count (CBC) test, which measures the levels of red blood cells and hemoglobin. Additional tests may be used to determine the type and cause of anemia."
Prevention,How can sexually transmitted infections (STIs) be prevented?,"Prevention includes using condoms during sex, limiting the number of sexual partners, getting vaccinated against HPV and hepatitis B, and getting regular screenings for STIs."
Definition,What is a cataract?,"A cataract is a clouding of the normally clear lens of the eye, leading to a decrease in vision."
Cause,What causes osteomalacia?,"Osteomalacia results from a deficiency of vitamin D, calcium, or phosphate, leading to softening of the bones."
Symptom,What are common symptoms of lupus?,"Symptoms include fatigue, joint pain, rash, and fever. Lupus can also affect the kidneys, brain, and other organs."
Treatment,How is Lyme disease treated?,"Lyme disease is treated with antibiotics, ideally in the early stages of the disease, to eliminate the infection. Oral antibiotics are standard for early-stage Lyme disease, while intravenous antibiotics may be necessary for more severe cases."
Prognosis,What is the outlook for someone with fibromyalgia?,"While fibromyalgia is a chronic condition, many individuals manage their symptoms with medication, lifestyle adjustments, and support, leading active lives. The condition does not affect life expectancy."
Diagnosis,How is glaucoma diagnosed?,"Glaucoma is diagnosed through a comprehensive eye exam that includes measuring intraocular pressure (tonometry), inspecting the drainage angle (gonioscopy), visual field testing, and imaging tests to assess the optic nerve."
Prevention,How can you prevent osteoarthritis?,"Preventing osteoarthritis involves maintaining a healthy weight, staying active, avoiding injury, and doing exercises that strengthen the muscles around the joints and increase flexibility."
Definition,What is Raynaud's phenomenon?,Raynaud's phenomenon is a condition that causes some areas of your body — such as your fingers and toes — to feel numb and cold in response to cold temperatures or stress.
Cause,What causes motion sickness?,"Motion sickness is caused by repeated movements when traveling, like swaying or bumping, which disturb the inner ear's balance mechanism and can lead to nausea, dizziness, and vomiting."
Symptom,What are symptoms of carbon monoxide poisoning?,"Symptoms include headache, dizziness, weakness, upset stomach, vomiting, chest pain, and confusion. High levels of carbon monoxide can be fatal, causing death within minutes."
Treatment,How is atrial fibrillation managed?,"Atrial fibrillation can be managed with medications to control the heart rate and reduce the risk of blood clots, procedures to reset the heart's rhythm, and lifestyle changes."
Prognosis,What is the outlook for someone with temporal arteritis?,"With prompt treatment, the outlook for someone with temporal arteritis is generally good, and complications can often be prevented. Untreated, it can lead to serious problems like blindness or stroke."
Diagnosis,How is chronic fatigue syndrome diagnosed?,"Chronic fatigue syndrome is diagnosed based on a detailed patient history, a thorough physical and mental health examination, and ruling out other conditions with similar symptoms since there's no definitive test for it."
Prevention,How can you prevent food poisoning at home?,"Prevent food poisoning by practicing proper hygiene, cooking food to safe temperatures, avoiding cross-contamination, storing food properly, and choosing fresh ingredients."
Definition,What is diverticulitis?,"Diverticulitis is an inflammation or infection of one or more diverticula, small pouches that can form in the lining of the digestive system."
Cause,What causes a hiatal hernia?,"A hiatal hernia occurs when part of the stomach pushes up through the diaphragm muscle due to weakness in the diaphragm, often associated with persistent pressure on the surrounding muscles from coughing, vomiting, or straining during a bowel movement."
Symptom,What are the signs of menopause?,"Signs include irregular periods, hot flashes, night sweats, sleep problems, mood changes, weight gain and slowed metabolism, thinning hair and dry skin, and loss of breast fullness."
Treatment,How is an overactive thyroid (hyperthyroidism) treated?,"Treatment options for hyperthyroidism include radioactive iodine, anti-thyroid medications, beta-blockers to control symptoms, and sometimes surgery to remove all or part of the thyroid gland."
Prognosis,What is the prognosis for someone with multiple sclerosis (MS)?,"MS is unpredictable and varies greatly from person to person. While there is currently no cure, treatments can help manage symptoms and slow disease progression. Some people experience mild symptoms, while others may develop significant physical disabilities."
Diagnosis,How is hepatitis diagnosed?,"Hepatitis is diagnosed through a combination of blood tests that detect the presence of viral antigens and antibodies, liver function tests, and sometimes liver biopsies to assess liver damage."
Prevention,How can you reduce the risk of stroke?,"Reducing stroke risk involves controlling high blood pressure, quitting smoking, managing cholesterol, diabetes, and heart diseases, maintaining a healthy weight, eating a diet rich in fruits and vegetables, and exercising regularly."
Definition,What is pancreatitis?,"Pancreatitis is inflammation of the pancreas that can occur as an acute, sudden attack or a chronic condition, affecting the organ's ability to digest food and regulate blood sugar."
Cause,What causes Bell's palsy?,"The exact cause of Bell's palsy is unknown, but it is believed to be linked to viral infections that cause inflammation and swelling of the facial nerve."
Symptom,What are indicators of insulin resistance?,"Indicators include high blood sugar levels, excess body fat around the waist, and increased levels of triglycerides and cholesterol in the blood."
Treatment,How is obsessive-compulsive disorder (OCD) treated?,"OCD is typically treated with psychotherapy, particularly cognitive-behavioral therapy (CBT), medications such as selective serotonin reuptake inhibitors (SSRIs), or a combination of therapy and medications."
Prognosis,What is the outlook for individuals with chronic kidney disease (CKD)?,"The outlook depends on the stage and progression rate of the disease; early detection and proper management can slow its progression. In advanced stages, dialysis or a kidney transplant may be necessary."
Diagnosis,How is a peptic ulcer diagnosed?,"Peptic ulcers are diagnosed through endoscopy to directly visualize the ulcers and may include biopsy to test for Helicobacter pylori infection. Sometimes, X-ray studies using barium are used."
Prevention,How can one prevent migraines?,"Preventing migraines can involve identifying and avoiding triggers, stress management techniques, regular physical exercise, a consistent sleep schedule, and preventive medications prescribed by a healthcare professional."
Definition,What is a pulmonary embolism?,"A pulmonary embolism is a blockage in one of the pulmonary arteries in the lungs, usually caused by blood clots that travel to the lungs from the legs or other parts of the body."
Cause,What causes tinnitus?,"Tinnitus can be caused by a range of conditions, including age-related hearing loss, exposure to loud noises, earwax blockage, changes in the ear bone, and certain disorders affecting the circulatory system."
Symptom,What are symptoms of Lyme disease?,"Symptoms include a bull's-eye rash, fever, chills, fatigue, body aches, headache, neck stiffness, and swollen lymph nodes."
Treatment,How is type 1 diabetes managed?,"Type 1 diabetes management involves insulin therapy via injections or an insulin pump, carbohydrate counting, frequent blood sugar monitoring, regular physical activity, and a healthy diet."
Prognosis,What is the outlook for someone with chronic lymphocytic leukemia (CLL)?,"With appropriate treatment, people with CLL often have a good quality of life for many years. Advances in treatment are improving the prognosis, though CLL is considered incurable and may require ongoing management."
Diagnosis,How is lupus diagnosed?,"Lupus is diagnosed based on a combination of physical symptoms and laboratory tests, including blood and urine tests, and sometimes biopsy. No single test can diagnose lupus; diagnosis often involves ruling out other conditions."
Prevention,How can you prevent high blood pressure (hypertension)?,"Preventing hypertension involves eating a healthy diet, maintaining a healthy weight, getting regular exercise, limiting alcohol, managing stress, avoiding tobacco use, and monitoring blood pressure regularly."
Definition,What is endometrial cancer?,"Endometrial cancer is a type of cancer that begins in the lining of the uterus, known as the endometrium. It's often detected early because it frequently produces abnormal vaginal bleeding."
Cause,What causes gallstones?,"Gallstones are caused by an imbalance in the substances that make up bile in the gallbladder, including cholesterol and bilirubin. Factors such as body weight, diet, and possibly genes may influence the risk."
Symptom,What are the common signs of dehydration?,"Common signs include thirst, less frequent urination, dark-colored urine, dry skin, fatigue, dizziness, and confusion."
Treatment,How is hypothyroidism treated?,"Hypothyroidism is usually treated with synthetic thyroid hormone levothyroxine, which restores adequate hormone levels, reversing the signs and symptoms of hypothyroidism."
Prognosis,What is the prognosis for individuals with a brain tumor?,"The prognosis for a brain tumor varies widely depending on the type, size, and location of the tumor, as well as the person's age and overall health. Some are curable, while others can be managed to extend quality life."
Diagnosis,How is heart failure diagnosed?,"Heart failure is diagnosed based on medical history, physical examination, and tests such as blood tests, echocardiogram, ECG (electrocardiogram), MRI, and stress testing."
Prevention,How can you prevent type 2 diabetes?,"Preventing type 2 diabetes involves maintaining a healthy weight, eating a balanced diet rich in whole foods, exercising regularly, not smoking, managing blood pressure and cholesterol, and reducing sugar intake."
Definition,What is alopecia areata?,"Alopecia areata is an autoimmune condition that causes hair to fall out in small patches, which can be unnoticeable until it affects a significant portion of the scalp."
Cause,What causes vertigo?,"Vertigo is often caused by inner ear disorders, such as benign paroxysmal positional vertigo (BPPV), Meniere's disease, or vestibular neuritis, affecting balance and leading to spinning sensations."
Symptom,What are symptoms of iron overload (hemochromatosis)?,"Symptoms include joint pain, fatigue, weakness, diabetes, liver problems (like cirrhosis or liver cancer), skin darkening, and heart abnormalities."
Treatment,How is a urinary tract infection (UTI) treated?,"UTIs are typically treated with antibiotics prescribed by a healthcare provider, with the type and duration depending on the infection's severity and location. Drinking plenty of water to help flush bacteria from the urinary tract is also recommended."
Prognosis,What is the outlook for individuals with psoriasis?,"Psoriasis is a chronic condition that can vary in severity over time. While there is no cure, treatments can help control the symptoms, leading to periods of clear skin. Lifestyle changes and medication can manage the condition effectively for many individuals."
Diagnosis,How is chronic obstructive pulmonary disease (COPD) diagnosed?,"COPD is diagnosed through lung function tests, such as spirometry, which measures the amount of air a person can exhale and how quickly. Other tests may include chest X-rays, CT scans, and arterial blood gas analysis."
Prevention,How can you reduce the risk of developing Alzheimer's disease?,"While there is no sure way to prevent Alzheimer's, evidence suggests that a healthy lifestyle — maintaining a healthy blood pressure, weight, and cholesterol levels, staying mentally and physically active, and eating a balanced diet — might help reduce the risk."
Definition,What is endocarditis?,"Endocarditis is an infection of the inner lining of your heart chambers and heart valves (endocardium), typically caused by bacteria or other germs from another part of your body, such as your mouth, spreading through your bloodstream and attaching to damaged areas."
Cause,What causes pernicious anemia?,"Pernicious anemia is caused by a deficiency in vitamin B12 due to the stomach's inability to properly absorb B12 from the diet, often due to a lack of intrinsic factor, a protein made by the stomach that is necessary for B12 absorption."
Symptom,What are the signs of hypocalcemia (low calcium)?,"Signs include muscle cramps or spasms, numbness and tingling in the fingers, seizures, lethargy, poor appetite, and abnormal heart rhythms."
Treatment,How is bipolar disorder managed?,"Bipolar disorder is managed with a combination of medications (such as mood stabilizers and antipsychotics), psychotherapy, lifestyle modifications, and sometimes hospitalization during mood swings to prevent harm."
Prognosis,What is the outlook for someone with kidney stones?,"Most people can pass small kidney stones without invasive treatment, but larger stones may require medication to help pass the stones, lithotripsy to break them up, or surgery. Recurrence is common, and preventive measures are important."
Diagnosis,How is leukemia diagnosed?,"Leukemia is diagnosed through blood tests that show abnormal levels of white or red blood cells or platelets, bone marrow tests to look for leukemia cells, and sometimes genetic tests to identify specific types of leukemia."
Prevention,How can you prevent Lyme disease?,"Preventing Lyme disease involves avoiding areas where ticks are prevalent, using insect repellent, wearing protective clothing, checking for ticks on your body, pets, and gear, and removing ticks promptly to reduce the risk of disease transmission."
Definition,What is scoliosis?,"Scoliosis is a medical condition in which a person's spine has a sideways curve, usually in an ""S"" or ""C"" shape, which can occur due to genetic and environmental factors, though the exact cause is often unknown."
Cause,What causes cataracts?,"Cataracts develop when aging or injury changes the tissue that makes up your eye's lens, with other causes including genetic disorders, other eye conditions, past eye surgery, or conditions such as diabetes. Prolonged use of steroid medications can also cause cataracts."
Symptom,What are common symptoms of chronic liver disease?,"Symptoms include jaundice, itching, swelling in the legs and abdomen, easy bruising, fatigue, nausea, and loss of appetite."
Treatment,How is gout managed?,"Gout management includes medications to reduce uric acid levels and relieve pain during attacks, lifestyle and dietary changes to avoid triggers, and sometimes long-term medications to prevent future attacks."
Prognosis,What is the prognosis for individuals with migraine?,"Migraines are a chronic condition with varying patterns over time. Many individuals find that their migraines improve with age and appropriate management, though they can significantly impact quality of life."
Diagnosis,How is asthma diagnosed?,"Asthma is diagnosed based on medical history, a physical exam, and lung function tests such as spirometry. Tests to measure response to asthma medications or exercise may also be used."
Prevention,How can you prevent carpal tunnel syndrome?,"Preventing carpal tunnel syndrome involves taking frequent breaks to rest the hands, maintaining proper wrist posture, using ergonomic tools and keyboards, and exercises to strengthen the wrist and hand muscles."
Definition,What is dengue fever?,"Dengue fever is a mosquito-borne illness caused by the dengue virus, characterized by high fever, severe headache, pain behind the eyes, joint and muscle pain, rash, and mild bleeding."
Cause,What causes anaphylaxis?,"Anaphylaxis is a severe allergic reaction caused by exposure to allergens such as certain foods, medications, insect stings, or latex, leading to a rapid, full-body immune response."
Symptom,What are symptoms of pancreatitis?,"Symptoms include upper abdominal pain that radiates to the back, pain that worsens after eating, nausea, vomiting, fever, and rapid pulse."
Treatment,How is chronic bronchitis treated?,"Treatment includes bronchodilators to open airways, steroids to reduce inflammation, oxygen therapy, and sometimes antibiotics if a bacterial infection is suspected. Pulmonary rehabilitation may also be recommended."
Prognosis,What is the outlook for someone with a brain aneurysm?,"The prognosis for a brain aneurysm depends on its size, location, whether it has ruptured, and the individual's overall health. Unruptured aneurysms can often be successfully treated, but ruptured aneurysms have a significant risk of severe complications."
Diagnosis,How is heart disease diagnosed?,"Heart disease can be diagnosed through a combination of physical examinations, blood tests, electrocardiograms (EKG/ECG), echocardiograms, stress testing, cardiac catheterization, and coronary angiograms."
Prevention,How can you prevent osteoporosis?,"Preventing osteoporosis involves getting adequate calcium and vitamin D, regular weight-bearing and muscle-strengthening exercises, avoiding smoking and excessive alcohol, and medication in some high-risk individuals."
Definition,What is conjunctivitis?,"Conjunctivitis, also known as pink eye, is an inflammation or infection of the outer membrane of the eyeball and the inner eyelid, causing redness, itching, and often a significant amount of discharge."
Cause,What causes insomnia?,"Insomnia can be caused by stress, travel or work schedules, poor sleep habits, eating too much late in the evening, and mental health disorders such as anxiety and depression. Other causes include medications, caffeine, and medical conditions."
Symptom,What are signs of malnutrition?,"Signs include weight loss, muscle wasting, fatigue, weakness, dizziness, and immune system deficiencies, leading to frequent infections or illnesses."
Treatment,How is sinusitis treated?,"Sinusitis treatment includes saline nasal sprays, nasal corticosteroids, decongestants, over-the-counter pain relievers, antibiotics for bacterial infections, and sometimes nasal irrigation or surgery to clear obstructed sinuses."
Prognosis,What is the prognosis for individuals with inflammatory bowel disease (IBD)?,"The prognosis varies by individual and type of IBD (Crohn's disease or ulcerative colitis); many people experience periods of remission and flare-ups. Effective management can improve quality of life, though complications may occur."
Diagnosis,How is a vitamin D deficiency diagnosed?,"A vitamin D deficiency is diagnosed with a blood test measuring the level of 25-hydroxyvitamin D, considered the best indicator of vitamin D status."
Prevention,How can stress be reduced?,"Stress can be reduced through regular physical activity, relaxation techniques like meditation or deep breathing exercises, maintaining social connections, managing time effectively, setting realistic goals, and seeking professional help when needed."
Definition,What is aphasia?,"Aphasia is a condition characterized by the loss of the ability to understand or express speech, caused by brain damage."
Cause,What causes restless leg syndrome (RLS)?,"Restless leg syndrome's cause is often unknown, but it may be linked to genetic factors, iron deficiency, or chronic diseases such as kidney failure and diabetes."
Symptom,What are symptoms of a food allergy?,"Symptoms include itching in the mouth, swelling of lips, tongue, face or throat, hives, and anaphylaxis, a potentially life-threatening reaction that impairs breathing and can send the body into shock."
Treatment,How is a stroke treated?,Immediate treatment for a stroke may include clot-busting drugs for ischemic strokes and surgery or medication to stop bleeding for hemorrhagic strokes. Rehabilitation can help with recovery.
Prognosis,What is the outlook for individuals with osteoarthritis?,"The outlook varies; osteoarthritis is a degenerative disease that progresses over time, often leading to pain and joint dysfunction. Management strategies can alleviate symptoms and improve quality of life, but the condition may worsen gradually."
Diagnosis,How is attention deficit hyperactivity disorder (ADHD) diagnosed?,"ADHD is diagnosed based on symptoms, often using checklists for rating ADHD symptoms and taking a history of the child from parents, teachers, and sometimes the child."
Prevention,How can you prevent athlete's foot?,"Prevent athlete's foot by keeping your feet dry, especially between your toes; wearing breathable shoes; changing socks regularly; using antifungal powders or sprays; and not sharing shoes, socks, or towels and avoiding walking barefoot in public areas like locker rooms."
Definition,What is bursitis?,"Bursitis is the inflammation of one or more bursae, small fluid-filled sacs near the joints, causing pain, swelling, or irritation."
Cause,What causes kidney stones?,"Kidney stones form when your urine contains more crystal-forming substances — such as calcium, oxalate, and uric acid — than the fluid in your urine can dilute, or when your urine lacks substances that prevent crystals from sticking together."
Symptom,What are signs of high cholesterol?,"High cholesterol itself often has no symptoms, and many people are unaware that their cholesterol level is too high. It can be detected through a blood test."
Treatment,How is heartburn treated?,"Heartburn can be treated with over-the-counter antacids and H2 blockers or proton pump inhibitors that reduce stomach acid production. Lifestyle changes, such as eating smaller meals and avoiding trigger foods, can also help."
Prognosis,What is the prognosis for someone with HIV/AIDS?,"With effective antiretroviral therapy, individuals with HIV can live long and healthy lives and reduce the risk of transmitting the virus to others. Without treatment, HIV can progress to AIDS, which can be life-threatening."
Diagnosis,How is colorectal cancer diagnosed?,"Colorectal cancer is typically diagnosed through a colonoscopy, which allows the doctor to examine the interior of the colon and rectum and perform biopsies of any suspicious areas."
Prevention,How can the risk of falls in the elderly be reduced?,"Reducing fall risk in the elderly involves regular exercise to strengthen legs and improve balance, making the home safer by removing tripping hazards, using assistive devices, and ensuring good lighting."
Definition,What is eczema?,"Eczema, or atopic dermatitis, is a condition that makes your skin red and itchy. It's common in children but can occur at any age and is often accompanied by asthma or hay fever."
Cause,What causes a migraine?,"The exact cause of migraines is unknown, but they are thought to result from abnormal brain activity temporarily affecting nerve signals, chemicals, and blood vessels in the brain."
Symptom,What are the early signs of type 2 diabetes?,"Early signs include increased thirst and hunger, frequent urination, weight loss without trying, fatigue, blurred vision, slow-healing sores, and frequent infections."
Treatment,How is chronic obstructive pulmonary disease (COPD) managed?,"COPD management includes quitting smoking, medications like bronchodilators and steroids, pulmonary rehabilitation, oxygen therapy, and lifestyle changes. In severe cases, surgery may be an option."
Prognosis,What is the outlook for someone with hepatitis C?,"The outlook for hepatitis C has greatly improved with antiviral medications that can cure the infection in most cases. However, untreated or chronic hepatitis C can lead to serious liver damage and complications."
Diagnosis,How is deep vein thrombosis (DVT) diagnosed?,"DVT is diagnosed using ultrasound imaging to detect clots in the veins, blood tests, and sometimes venography or MRI."
Prevention,How can you reduce the risk of developing cataracts?,"Reducing the risk includes protecting your eyes from UV light, not smoking, eating a diet rich in fruits and vegetables, and managing other health conditions like diabetes."
Definition,What is menopause?,"Menopause is the time that marks the end of your menstrual cycles, diagnosed after you've gone 12 months without a menstrual period, and can result from natural aging or as a result of surgery, treatment of a disease, or illness."
Cause,What causes polycystic ovary syndrome (PCOS)?,"The exact cause of PCOS is unknown but is thought to involve a combination of genetic and environmental factors, including high levels of androgens, insulin resistance, and inflammation."
Symptom,What are signs of dehydration?,"Signs include thirst, less frequent urination, dark-colored urine, fatigue, dizziness, and confusion."
Treatment,How is psoriatic arthritis treated?,"Treatment includes nonsteroidal anti-inflammatory drugs (NSAIDs), immunosuppressants, TNF-alpha inhibitors, and other medications that target specific parts of the immune system to reduce inflammation and prevent joint damage."
Prognosis,What is the prognosis for individuals with cystic fibrosis?,"Advances in treatment have significantly improved the life expectancy and quality of life for people with cystic fibrosis, with many living into their 40s and beyond. However, it's a serious condition that requires daily care."
Diagnosis,How is anemia diagnosed?,Anemia is diagnosed with a complete blood count (CBC) to measure hemoglobin and hematocrit levels and the size and volume of red blood cells. Further testing may determine the type and cause of anemia.
Prevention,How can you prevent gingivitis?,"Preventing gingivitis involves practicing good oral hygiene, including brushing twice a day, flossing daily, using an antimicrobial mouthwash, and visiting the dentist regularly for cleanings and checkups."
Definition,What is appendicitis?,"Appendicitis is inflammation of the appendix, a finger-shaped pouch projecting from the colon on the lower right side of the abdomen, which can cause severe pain and requires prompt medical treatment, often surgery, to remove the appendix."
Cause,What causes osteoporosis?,"Osteoporosis is caused by an imbalance between new bone creation and old bone resorption. Aging, hormonal changes, and deficiencies in calcium or vitamin D are major factors contributing to bone loss."
Symptom,What are symptoms of a panic attack?,"Symptoms include a sudden feeling of intense fear or discomfort, heart palpitations, sweating, trembling or shaking, shortness of breath, feelings of choking, chest pain, nausea, dizziness, and fear of losing control or impending doom."
Treatment,How is a thyroid disorder treated?,"Treatment varies by disorder but may include hormone replacement therapy for hypothyroidism, radioactive iodine, anti-thyroid medications, beta-blockers for hyperthyroidism, and surgery to remove part or all of the thyroid gland."
Prognosis,What is the outlook for individuals with a spinal cord injury?,"The outlook depends on the severity of the injury and its location. While some individuals may regain some function with rehabilitation, others may have permanent paralysis or other disabilities. Technological and therapeutic advances continue to improve outcomes."
Diagnosis,How is Lyme disease diagnosed?,"Lyme disease is diagnosed based on symptoms, the presence of a characteristic ""bull's-eye"" rash, and the likelihood of exposure to infected ticks. Laboratory tests can confirm the diagnosis, including ELISA and Western blot tests for Lyme antibodies."
Prevention,How can you prevent athlete's foot (tinea pedis)?,"Prevent athlete's foot by keeping your feet dry and clean, changing socks regularly, wearing sandals in public showers or locker rooms, and using antifungal powder if necessary."
Definition,What are abdominal wall defects?,Abdominal wall defects are congenital defects that allow the stomach or intestines to protrude.
Symptom,What symptoms indicate abdominal wall defects in a fetus?,"Symptoms may include a hard lump on the face or neck in cases of cervicofacial actinomycosis, and for abdominal defects, the base of the umbilical cord at the navel will bulge or contain viscera."
Treatment,How are abdominal wall defects treated?,"They are effectively treated with surgical repair, where the organs are placed back into the abdominal cavity and the defect is closed."
Prognosis,What is the prognosis after surgical repair of abdominal wall defects?,"The prognosis is relatively good if there are no other defects, with most individuals recovering completely especially if they had no previous history of mental problems."
Diagnosis,How are abdominal wall defects diagnosed?,"At birth, the defects are visibly obvious. Before birth, an ultrasound examination may detect the problem."
